Cycle,Method,LAM_Cathode_%,LAM_Anode_%,Total_LAM_%,LLI_mAh,Resistance_Ohm,Loss,Time_s
3,Gradient Descent,19.398686931997688,-0.24506924787688344,19.153617684120803,1.3172088974430602,0.0720632062083836,10000000000.0,0.012599229812622
54,Gradient Descent,0.38520962445339757,1.510723683991877,1.8959333084452745,1.0876775706118516,0.0455940416668919,10000000000.0,0.1291608810424804
105,Gradient Descent,-10.955622653049456,2.6587027498056637,-8.296919903243793,1.300117307312708,0.071375879199489,10000000000.0,0.0121462345123291
156,Gradient Descent,-19.675700791688744,-17.9451628363164,-37.62086362800514,1.37463800802858,0.0983229023537218,10000000000.0,0.0107991695404052
207,Gradient Descent,17.277421968534167,-9.449226026068725,7.828195942465442,0.4965669300700381,0.0376533080629728,10000000000.0,0.0069217681884765
258,Gradient Descent,-5.796008614846415,2.8386519201269556,-2.9573566947194596,1.282908358480829,0.0952383249699272,10000000000.0,0.0059096813201904
309,Gradient Descent,2.4910763874694153,-7.284193522886651,-4.793117135417235,0.2417577885261943,0.0117561087169566,10000000000.0,0.0085957050323486
3,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,18.315105199813843
54,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,7.422819375991821
105,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,6.78772759437561
156,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,6.574055433273315
207,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,15.696280479431152
258,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,6.0753912925720215
309,Bayesian Optimization,-1.9525401570930079,-8.082901282149324,-10.035441439242332,0.6826752255046546,0.0423654799338904,10000000000.0,6.174094915390015
